WU1	1	20000	start
WU1	52436749	52436749	end
WU2	20000	20000	start
WU2	66188648	66188648	end
WU3	20000	20000	start
WU3	63269159	63269159	end
WU4	20000	20000	start
WU4	61569793	61569793	end
WU5	20000	20000	start
WU5	59610490	59610490	end
WU6	20000	20000	start
WU6	63761463	63761463	end
WU1	21066750	21466800	centerA
WU2	29797950	30039950	centerA
WU3	26531150	26986500	centerA
WU4	28050050	28219050	centerA
WU5	21403100	21785150	centerA
WU6	32968700	33372200	centerA
WU1	21066750	21466800	centerB
WU2	29797950	30039950	centerB
WU3	26531150	26986500	centerB
WU4	28050050	28219050	centerB
WU5	21403100	21785150	centerB
WU6	32968700	33372200	centerB
